"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-08-12 23:28:51",1755041331172,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.png","GET","",-1,"nkjjn-1755041331113-8d04f1e0f314","vercel-favicon/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:51] ""GET /favicon.png HTTP/1.1"" 404 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9TXYM6WMSK3WJ1AMQ44BK","",-1
"2025-08-12 23:28:51",1755041331156,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.png","GET","",404,"nkjjn-1755041331113-8d04f1e0f314","vercel-favicon/1.0","warning","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",4,"iad1",72,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9TXYM6WMSK3WJ1AMQ44BK","7RyJfdyzHhmf",1
"2025-08-12 23:28:51",1755041331069,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.ico","GET","",-1,"nkjjn-1755041330913-141375f4b9ae","vercel-favicon/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:51] ""GET /favicon.ico HTTP/1.1"" 404 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9TXVE1VSCTN592QBFRTPW","",-1
"2025-08-12 23:28:51",1755041331054,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.ico","GET","",404,"nkjjn-1755041330913-141375f4b9ae","vercel-favicon/1.0","warning","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",5,"iad1",71,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9TXVE1VSCTN592QBFRTPW","7RyJfdyzHhmf",1
"2025-08-12 23:28:50",1755041330784,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",-1,"r9p6p-1755041330721-c046297d12b1","vercel-favicon/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:50] ""GET / HTTP/1.1"" 200 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9TXJDH1HZCR46YGW66M9D","",-1
"2025-08-12 23:28:50",1755041330765,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",200,"r9p6p-1755041330721-c046297d12b1","vercel-favicon/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",5,"iad1",71,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9TXJDH1HZCR46YGW66M9D","7RyJfdyzHhmf",1
"2025-08-12 23:28:11",1755041291548,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.ico","GET","",-1,"dttw5-1755041290928-4016fd1f4388","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:11] ""GET /favicon.ico HTTP/1.1"" 404 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPSYWCHZYKKEB6D8YHKC","",-1
"2025-08-12 23:28:11",1755041291195,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.ico","GET","",-1,"x7z5l-1755041291143-af0c49d07cfb","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:11] ""GET /favicon.ico HTTP/1.1"" 404 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPXCX4P6NK0ZNGXPCARW","",-1
"2025-08-12 23:28:11",1755041291180,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.ico","GET","",404,"x7z5l-1755041291143-af0c49d07cfb","vercel-screenshot/1.0","warning","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",4,"iad1",72,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPXCX4P6NK0ZNGXPCARW","IXe5wZM7UvfP",1
"2025-08-12 23:28:11",1755041291171,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/api/market","GET","",-1,"r9p6p-1755041291120-e30c4cf85ad5","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:11] ""GET /api/market HTTP/1.1"" 200 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPWJPP1GT7QW8KG198Y5","",-1
"2025-08-12 23:28:11",1755041291154,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/api/market","GET","",200,"r9p6p-1755041291120-e30c4cf85ad5","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",4,"iad1",72,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPWJPP1GT7QW8KG198Y5","IXe5wZM7UvfP",1
"2025-08-12 23:28:11",1755041291080,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/api/market","GET","",-1,"jwjh4-1755041290917-3d0ba826877b","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:11] ""GET /api/market HTTP/1.1"" 200 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPSQZAYCD985GWR40RGW","",-1
"2025-08-12 23:28:11",1755041291069,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/favicon.ico","GET","",404,"dttw5-1755041290928-4016fd1f4388","vercel-screenshot/1.0","warning","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",6,"iad1",71,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPSYWCHZYKKEB6D8YHKC","7RyJfdyzHhmf",1
"2025-08-12 23:28:11",1755041291063,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/api/market","GET","",200,"jwjh4-1755041290917-3d0ba826877b","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",4,"iad1",72,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPSQZAYCD985GWR40RGW","IXe5wZM7UvfP",1
"2025-08-12 23:28:11",1755041291057,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",-1,"r9p6p-1755041291006-e838e94f72fe","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:11] ""GET / HTTP/1.1"" 200 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPS35F19F3C6T0738WRN","",-1
"2025-08-12 23:28:11",1755041291043,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",200,"r9p6p-1755041291006-e838e94f72fe","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",5,"iad1",72,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPS35F19F3C6T0738WRN","IXe5wZM7UvfP",1
"2025-08-12 23:28:10",1755041290839,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",-1,"r9p6p-1755041290695-fe0687c8abfd","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:10] ""GET / HTTP/1.1"" 200 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPJB3XQYJFMMCHSRVEZP","",-1
"2025-08-12 23:28:10",1755041290826,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",200,"r9p6p-1755041290695-fe0687c8abfd","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",4,"iad1",71,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SPJB3XQYJFMMCHSRVEZP","IXe5wZM7UvfP",1
"2025-08-12 23:28:10",1755041290589,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",-1,"24zkx-1755041290254-e0878b5ed50c","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:10] ""GET / HTTP/1.1"" 200 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SP9YH2N2NZW5GNRB201E","",-1
"2025-08-12 23:28:10",1755041290578,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",-1,"xxmgq-1755041290303-19e9544ccc51","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",-1,"iad1",-1,-1,"127.0.0.1 - - [12/Aug/2025 23:28:10] ""GET / HTTP/1.1"" 200 -","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SP9XDMX5F7RH4GBYCYHJ","",-1
"2025-08-12 23:28:10",1755041290558,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",200,"24zkx-1755041290254-e0878b5ed50c","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",4,"iad1",71,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SP9YH2N2NZW5GNRB201E","IXe5wZM7UvfP",1
"2025-08-12 23:28:10",1755041290557,"v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app/","GET","",200,"xxmgq-1755041290303-19e9544ccc51","vercel-screenshot/1.0","info","production","main","MISS","lambda","/api/app.py","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","v0-03-7qr0237vb-dumbcodesonlys-projects.vercel.app","dpl_sA8GsZQd5gj18kizNN3M65ugKekc",5,"iad1",71,2048,"","prj_9gKkEs5UC67nB27ptWmBpvGvqfhb","","","01K2G9SP9XDMX5F7RH4GBYCYHJ","IXe5wZM7UvfP",1
